下料批次号,零件号,数量,外轮廓,允许旋转角度,面料号
L0004,s000001,1,"[[2000.0, 1000.0], [2707.5, 1000.0], [2707.5, 1065.0], [2000.0, 1065.0], [2000.0, 1000.0]]","0, 180",M0004
L0004,s000002,1,"[[2000.0, 2000.0], [1999.2, 2004.6], [1998.3, 2010.2], [1997.4, 2016.0], [1996.4, 2022.0], [1994.5, 2034.3], [1992.4, 2047.0], [1990.4, 2059.8], [1988.3, 2072.5], [1986.3, 2085.1], [1984.9, 2094.2], [1983.5, 2103.1], [1980.9, 2120.8], [1979.5, 2131.1], [1978.4, 2141.4], [1977.9, 2148.8], [1977.5, 2156.1], [1976.9, 2162.9], [1976.1, 2169.6], [1974.3, 2183.1], [1973.0, 2194.4], [1971.8, 2205.8], [1969.7, 2228.6], [1967.5, 2255.0], [1966.4, 2268.0], [1965.3, 2280.7], [1960.6, 2281.1], [1956.3, 2281.4], [1952.4, 2281.7], [1948.7, 2281.9], [1945.3, 2282.2], [1942.0, 2282.4], [1935.6, 2282.8], [1927.5, 2283.4], [1919.1, 2284.0], [1910.3, 2284.5], [1901.3, 2285.1], [1892.2, 2285.6], [1882.9, 2286.2], [1873.7, 2286.6], [1864.5, 2287.0], [1854.2, 2287.5], [1843.9, 2287.8], [1823.6, 2288.7], [1815.9, 2289.2], [1808.2, 2289.8], [1796.9, 2291.0], [1790.6, 2291.7], [1789.4, 2291.9], [1784.4, 2292.7], [1780.6, 2293.5], [1776.9, 2294.5], [1769.5, 2296.6], [1764.3, 2298.2], [1761.8, 2299.2], [1759.3, 2300.4], [1757.3, 2301.5], [1755.3, 2302.9], [1751.5, 2305.8], [1747.2, 2309.7], [1743.3, 2314.0], [1740.7, 2317.5], [1738.2, 2321.1], [1735.2, 2326.1], [1732.5, 2331.3], [1729.8, 2337.8], [1727.5, 2344.1], [1716.1, 2341.2], [1704.9, 2338.3], [1682.9, 2332.8], [1661.2, 2327.4], [1639.6, 2322.1], [1614.0, 2316.3], [1588.1, 2310.7], [1562.0, 2305.5], [1535.9, 2300.7], [1520.1, 2298.0], [1504.3, 2295.5], [1472.7, 2290.9], [1447.2, 2287.3], [1421.5, 2284.0], [1395.9, 2281.0], [1370.2, 2278.5], [1345.3, 2276.5], [1320.3, 2274.8], [1284.0, 2272.9], [1248.5, 2271.2], [1221.0, 2270.3], [1193.5, 2269.5], [1166.0, 2269.0], [1138.5, 2268.6], [1075.7, 2267.9], [1013.1, 2267.2], [965.6, 2266.7], [941.8, 2266.5], [917.6, 2266.3], [894.6, 2266.2], [871.6, 2266.1], [860.3, 2266.0], [809.7, 2266.0], [803.6, 2266.1], [776.3, 2266.1], [776.3, 2031.7], [780.1, 2031.7], [783.7, 2031.8], [790.6, 2031.8], [797.0, 2031.9], [814.5, 2031.9], [825.5, 2032.0], [853.0, 2032.0], [867.4, 2031.9], [882.1, 2031.9], [897.1, 2031.8], [912.1, 2031.7], [942.3, 2031.6], [961.7, 2031.5], [980.8, 2031.4], [999.8, 2031.4], [1018.6, 2031.3], [1056.1, 2031.1], [1093.5, 2030.7], [1132.8, 2030.2], [1172.3, 2029.3], [1211.8, 2028.1], [1251.3, 2026.4], [1294.7, 2024.0], [1336.3, 2021.5], [1370.7, 2019.2], [1405.9, 2016.6], [1423.5, 2015.1], [1441.1, 2013.5], [1463.2, 2011.3], [1485.3, 2008.8], [1512.6, 2005.7], [1539.8, 2002.1], [1562.3, 1998.7], [1584.7, 1995.0], [1607.7, 1990.9], [1630.7, 1986.6], [1653.9, 1982.1], [1677.1, 1977.5], [1707.2, 1971.3], [1718.6, 1969.0], [1730.0, 1966.9], [1741.5, 1965.1], [1753.0, 1963.6], [1768.6, 1962.0], [1784.1, 1960.5], [1799.4, 1959.0], [1807.0, 1958.4], [1814.4, 1957.7], [1814.3, 1958.8], [1814.2, 1959.6], [2001.8, 1989.0], [2001.0, 1993.9], [2000.1, 1999.1], [2000.0, 2000.0]]","0, 180",M0004
L0004,s000003,1,"[[2000.0, 3000.0], [2300.0, 3000.0], [2300.0, 3040.0], [2000.0, 3040.0], [2000.0, 3000.0]]","0, 180",M0004
L0004,s000004,1,"[[4000.0, 1000.0], [4001.2, 1003.6], [4002.0, 1005.3], [4002.9, 1007.0], [4004.0, 1008.4], [4005.2, 1009.8], [4007.9, 1012.3], [4010.6, 1014.3], [4013.6, 1015.8], [4016.8, 1017.1], [4020.1, 1018.1], [4027.8, 1020.2], [4035.5, 1022.1], [4043.1, 1023.9], [4046.8, 1024.7], [4050.3, 1025.6], [4053.8, 1026.4], [4057.4, 1027.2], [4061.3, 1028.2], [4063.4, 1028.7], [4065.7, 1029.2], [4062.0, 1037.0], [4058.1, 1045.1], [4054.2, 1053.5], [4053.2, 1055.5], [4050.3, 1061.8], [4044.7, 1074.3], [4039.2, 1086.7], [4033.1, 1101.1], [4026.8, 1115.4], [4015.5, 1140.9], [4009.0, 1154.9], [4002.4, 1169.0], [3998.7, 1176.4], [3996.8, 1180.4], [3993.9, 1186.0], [3991.1, 1191.4], [3987.0, 1198.8], [3984.8, 1202.6], [3982.4, 1206.7], [3980.6, 1205.6], [3979.0, 1204.7], [3977.7, 1204.0], [3976.6, 1203.4], [3975.7, 1202.8], [3974.8, 1202.3], [3973.3, 1201.5], [3970.2, 1199.7], [3966.6, 1197.7], [3962.6, 1195.5], [3958.3, 1193.1], [3953.8, 1190.7], [3949.1, 1188.2], [3944.5, 1185.8], [3939.8, 1183.5], [3933.5, 1180.5], [3927.3, 1177.7], [3915.2, 1172.5], [3899.7, 1166.0], [3891.8, 1162.8], [3883.8, 1159.9], [3872.3, 1156.1], [3860.7, 1152.8], [3860.1, 1152.6], [3850.4, 1150.2], [3840.1, 1147.8], [3830.3, 1145.8], [3825.4, 1144.9], [3820.5, 1144.2], [3812.9, 1143.5], [3805.3, 1143.3], [3796.6, 1143.4], [3788.0, 1144.0], [3781.4, 1144.9], [3774.8, 1146.3], [3772.0, 1147.0], [3769.2, 1147.9], [3766.5, 1149.0], [3763.7, 1150.1], [3761.1, 1151.2], [3758.7, 1152.6], [3757.3, 1153.7], [3755.9, 1154.9], [3753.3, 1157.4], [3750.9, 1160.0], [3748.9, 1162.6], [3747.2, 1165.4], [3745.4, 1168.9], [3743.9, 1172.6], [3742.4, 1176.9], [3741.1, 1181.3], [3735.6, 1180.0], [3730.5, 1178.9], [3725.6, 1177.8], [3720.7, 1176.9], [3713.2, 1175.5], [3705.5, 1174.2], [3689.9, 1172.0], [3674.9, 1170.1], [3660.1, 1168.4], [3645.4, 1167.1], [3630.7, 1166.1], [3618.0, 1165.5], [3611.6, 1165.4], [3605.3, 1165.4], [3594.7, 1165.7], [3584.0, 1166.4], [3569.7, 1167.5], [3559.5, 1168.5], [3549.2, 1169.6], [3530.1, 1171.7], [3520.7, 1172.8], [3511.3, 1173.9], [3503.8, 1174.7], [3496.3, 1175.6], [3488.6, 1176.5], [3480.6, 1177.4], [3469.7, 1175.1], [3460.4, 1175.7], [3450.6, 1176.4], [3440.4, 1177.0], [3430.0, 1177.6], [3419.3, 1178.2], [3408.6, 1178.8], [3397.8, 1179.3], [3387.1, 1179.8], [3374.7, 1180.2], [3362.5, 1180.6], [3338.2, 1181.2], [3314.7, 1181.8], [3291.2, 1182.2], [3259.2, 1182.2], [3243.1, 1182.1], [3239.6, 1182.1], [3226.8, 1182.2], [3214.6, 1182.3], [3208.6, 1182.4], [3202.7, 1182.5], [3197.4, 1182.6], [3192.2, 1182.7], [3187.0, 1182.9], [3181.7, 1183.0], [3176.2, 1183.2], [3170.4, 1183.4], [3164.1, 1183.7], [3160.8, 1183.8], [3157.3, 1183.9], [3142.0, 974.4], [3170.1, 973.7], [3170.2, 972.4], [3170.3, 971.1], [3170.5, 968.9], [3171.4, 964.4], [3172.5, 959.7], [3174.2, 953.5], [3175.2, 950.5], [3176.3, 947.5], [3178.3, 943.1], [3180.6, 938.8], [3183.3, 934.6], [3184.8, 932.7], [3186.4, 930.8], [3189.3, 928.3], [3192.4, 926.0], [3197.3, 922.5], [3202.2, 919.3], [3206.0, 917.1], [3209.8, 915.2], [3213.7, 913.5], [3217.7, 911.8], [3228.2, 907.9], [3238.8, 904.3], [3251.7, 900.3], [3264.6, 896.6], [3283.2, 891.7], [3292.5, 889.4], [3301.9, 887.3], [3312.8, 885.1], [3323.7, 883.0], [3345.7, 879.3], [3365.3, 876.2], [3375.1, 874.9], [3384.9, 873.7], [3394.1, 872.8], [3403.3, 872.1], [3421.8, 871.0], [3464.9, 868.7], [3496.5, 867.3], [3512.4, 866.7], [3528.2, 866.2], [3544.3, 865.9], [3560.4, 865.8], [3592.5, 865.7], [3592.8, 861.2], [3603.3, 860.8], [3613.4, 860.4], [3623.4, 860.1], [3633.3, 859.9], [3645.4, 859.9], [3657.6, 860.0], [3669.9, 860.3], [3682.2, 860.9], [3697.4, 861.8], [3712.5, 862.9], [3727.5, 864.3], [3742.5, 865.9], [3764.1, 868.4], [3785.8, 871.3], [3807.6, 874.4], [3829.7, 877.8], [3850.8, 881.0], [3872.1, 884.4], [3893.4, 887.9], [3914.5, 891.4], [3924.9, 893.1], [3935.1, 894.8], [3945.2, 896.5], [3955.1, 898.1], [3964.8, 899.8], [3974.2, 901.3], [3983.3, 902.9], [3992.2, 904.4], [3993.0, 950.7], [3993.5, 955.1], [3994.1, 959.8], [3994.7, 964.8], [3995.4, 970.1], [3996.1, 975.6], [3996.9, 981.1], [3998.5, 992.1], [3999.1, 996.1], [4000.0, 1000.0]]","0, 180",M0004
L0004,s000005,1,"[[4000.0, 2000.0], [4200.0, 2000.0], [4200.0, 2040.0], [4000.0, 2040.0], [4000.0, 2000.0]]","0, 180",M0004
L0004,s000006,1,"[[4000.0, 3000.0], [4000.0, 2960.0], [4300.0, 2960.0], [4300.0, 3000.0], [4000.0, 3000.0]]","0, 180",M0004
L0004,s000007,1,"[[6000.0, 1000.0], [6000.0, 1002.0], [6000.1, 1003.8], [6000.1, 1005.3], [6000.2, 1006.8], [6000.3, 1009.2], [6000.4, 1011.6], [6000.5, 1015.9], [6000.7, 1020.6], [6001.0, 1025.6], [6001.2, 1030.7], [6001.4, 1035.9], [6001.7, 1040.9], [6001.9, 1045.7], [6002.1, 1050.0], [5767.0, 1050.2], [5765.9, 1049.2], [5764.9, 1048.3], [5763.0, 1046.7], [5761.1, 1045.0], [5759.1, 1043.4], [5757.1, 1041.7], [5755.2, 1040.2], [5759.2, 1036.9], [5763.0, 1033.8], [5767.9, 1029.5], [5770.3, 1027.2], [5772.4, 1024.8], [5774.0, 1022.8], [5775.5, 1020.7], [5778.2, 1016.2], [5781.7, 1010.2], [5783.4, 1007.2], [5785.1, 1004.4], [5786.5, 1004.0], [5788.1, 1003.6], [5791.5, 1002.8], [5795.1, 1001.9], [5798.7, 1001.0], [5802.1, 1000.2], [5803.7, 999.8], [5805.1, 999.4], [5806.4, 999.1], [5807.4, 998.8], [5808.3, 998.6], [5809.1, 998.4], [5810.4, 998.1], [5810.5, 1000.1], [6000.0, 1000.0]]","0, 180",M0004
L0004,s000008,1,"[[6000.0, 2000.0], [6001.8, 2009.6], [6003.9, 2020.8], [6006.1, 2031.8], [6007.7, 2039.5], [6009.4, 2047.2], [6011.2, 2054.8], [6013.2, 2062.7], [6014.7, 2068.5], [6016.3, 2074.2], [6017.6, 2079.5], [6018.2, 2082.1], [6018.7, 2084.4], [6019.0, 2086.0], [6019.6, 2089.6], [6019.8, 2090.7], [6020.0, 2092.0], [6020.1, 2093.5], [6020.2, 2094.7], [6020.3, 2095.8], [6020.3, 2096.7], [6020.4, 2098.2], [6020.5, 2099.6], [6020.9, 2102.8], [6021.4, 2106.3], [6022.0, 2110.2], [6022.8, 2114.4], [6023.7, 2118.8], [6024.6, 2123.3], [6026.9, 2132.7], [6029.8, 2143.7], [6031.4, 2149.0], [6032.9, 2154.1], [6034.2, 2158.9], [6035.5, 2163.4], [6036.5, 2167.4], [6037.3, 2170.9], [6037.6, 2172.2], [6038.0, 2174.6], [6038.1, 2175.7], [6038.3, 2177.0], [6038.6, 2178.5], [6038.7, 2180.6], [6038.8, 2182.1], [6038.9, 2183.4], [6039.0, 2184.3], [6039.0, 2185.4], [6039.1, 2186.0], [6039.3, 2187.7], [6039.6, 2189.7], [6040.1, 2192.0], [6040.6, 2194.7], [6041.1, 2197.7], [6041.8, 2201.0], [6042.5, 2204.6], [6043.3, 2208.4], [6044.2, 2212.4], [6045.1, 2216.7], [6046.1, 2221.1], [6047.1, 2225.7], [6049.3, 2235.4], [6051.6, 2245.4], [6054.0, 2255.7], [6056.4, 2266.1], [6058.9, 2276.4], [6061.3, 2286.4], [6062.4, 2291.2], [6063.6, 2295.9], [6064.7, 2300.5], [6065.7, 2304.9], [6066.8, 2309.1], [6067.7, 2313.1], [6068.6, 2316.9], [6069.5, 2320.4], [6070.2, 2323.2], [6070.9, 2326.0], [6071.6, 2328.9], [6072.4, 2332.0], [6073.3, 2335.5], [6073.8, 2337.4], [6074.3, 2339.5], [6074.9, 2341.8], [6075.5, 2344.2], [6076.2, 2346.8], [6076.9, 2349.7], [6071.8, 2350.3], [6066.9, 2350.8], [6062.4, 2351.4], [6058.1, 2351.9], [6054.0, 2352.3], [6050.2, 2352.8], [6046.6, 2353.2], [6043.1, 2353.6], [6036.6, 2354.4], [6030.5, 2355.1], [6024.6, 2355.8], [6018.7, 2356.5], [6009.2, 2357.6], [5999.3, 2358.8], [5988.9, 2360.0], [5978.3, 2361.3], [5967.3, 2362.6], [5956.0, 2364.0], [5944.5, 2365.3], [5932.9, 2366.7], [5909.2, 2369.5], [5885.3, 2372.2], [5861.5, 2374.8], [5849.7, 2376.1], [5838.1, 2377.3], [5828.1, 2378.3], [5818.2, 2379.4], [5808.4, 2380.7], [5798.6, 2382.4], [5797.3, 2382.6], [5795.6, 2382.9], [5793.6, 2383.3], [5791.3, 2383.8], [5788.8, 2384.3], [5786.2, 2384.9], [5781.1, 2386.0], [5776.4, 2387.2], [5772.1, 2388.3], [5767.9, 2389.6], [5763.9, 2391.0], [5760.1, 2392.5], [5756.2, 2394.3], [5752.4, 2396.2], [5748.6, 2398.2], [5744.7, 2400.7], [5740.9, 2403.4], [5736.3, 2406.9], [5732.0, 2410.8], [5727.7, 2415.4], [5725.8, 2417.8], [5724.0, 2420.4], [5722.2, 2423.3], [5720.6, 2426.3], [5719.2, 2429.3], [5718.0, 2432.5], [5717.1, 2435.4], [5716.4, 2438.4], [5715.3, 2444.5], [5714.6, 2450.7], [5714.1, 2456.9], [5713.3, 2471.7], [5713.0, 2478.9], [5712.9, 2486.0], [5712.9, 2491.9], [5713.0, 2497.8], [5713.1, 2504.0], [5713.1, 2514.9], [5713.0, 2519.3], [5712.9, 2523.6], [5712.8, 2527.8], [5712.6, 2531.7], [5712.5, 2535.1], [5712.4, 2536.7], [5712.4, 2538.0], [5712.3, 2539.2], [5712.3, 2540.3], [5703.8, 2549.1], [5697.0, 2544.5], [5690.4, 2540.0], [5677.3, 2531.3], [5661.5, 2521.0], [5645.6, 2510.7], [5629.2, 2500.2], [5612.6, 2490.1], [5599.3, 2482.4], [5585.7, 2475.1], [5572.9, 2468.6], [5560.0, 2462.5], [5549.3, 2457.8], [5538.4, 2453.5], [5526.9, 2449.5], [5515.2, 2445.9], [5491.2, 2438.9], [5476.0, 2434.7], [5460.7, 2431.0], [5446.0, 2427.9], [5431.2, 2425.1], [5416.7, 2422.3], [5402.2, 2419.7], [5387.5, 2417.5], [5372.8, 2415.7], [5356.1, 2414.0], [5339.4, 2412.6], [5322.7, 2411.4], [5305.9, 2410.4], [5237.0, 2406.1], [5216.6, 2405.0], [5196.2, 2404.0], [5174.7, 2403.2], [5153.3, 2402.7], [5110.3, 2401.9], [5062.9, 2400.8], [5015.6, 2399.7], [4971.1, 2398.9], [4948.8, 2398.6], [4926.3, 2398.3], [4902.2, 2398.0], [4878.2, 2397.7], [4866.3, 2397.6], [4854.5, 2397.4], [4842.9, 2397.3], [4831.5, 2397.1], [4819.2, 2397.0], [4806.7, 2396.8], [4800.3, 2396.7], [4793.6, 2396.7], [4786.7, 2396.6], [4779.5, 2396.5], [4779.5, 2238.8], [4779.4, 2224.4], [4779.4, 2135.7], [4792.5, 2135.5], [4805.2, 2135.3], [4817.8, 2135.2], [4830.4, 2135.1], [4847.7, 2135.0], [4865.2, 2135.0], [4882.7, 2134.9], [4900.2, 2134.7], [4928.0, 2134.0], [4955.6, 2133.2], [4980.4, 2132.7], [5005.2, 2132.3], [5034.9, 2131.7], [5064.6, 2130.9], [5106.8, 2129.6], [5149.1, 2128.4], [5177.0, 2127.7], [5190.9, 2127.2], [5204.8, 2126.6], [5219.5, 2125.8], [5234.3, 2124.9], [5263.7, 2123.0], [5290.1, 2121.4], [5316.4, 2119.8], [5330.8, 2118.9], [5345.1, 2117.9], [5359.4, 2116.7], [5373.7, 2115.2], [5388.1, 2113.4], [5402.5, 2111.5], [5417.2, 2109.3], [5431.9, 2107.0], [5449.9, 2103.8], [5467.8, 2100.4], [5510.2, 2092.0], [5530.3, 2087.9], [5540.4, 2085.7], [5550.4, 2083.4], [5560.2, 2080.9], [5570.0, 2078.4], [5589.4, 2072.9], [5608.6, 2067.4], [5627.8, 2061.8], [5643.0, 2057.1], [5658.1, 2052.2], [5674.0, 2046.7], [5689.9, 2041.2], [5706.2, 2035.5], [5714.5, 2032.7], [5722.7, 2030.1], [5733.1, 2027.2], [5743.4, 2024.4], [5757.8, 2020.6], [5772.3, 2017.0], [5787.6, 2013.5], [5803.0, 2010.4], [5813.8, 2008.4], [5824.6, 2006.7], [5846.4, 2003.4], [5860.6, 2001.4], [5874.7, 1999.5], [5889.0, 1997.7], [5903.3, 1996.1], [5916.3, 1994.9], [5929.3, 1993.9], [5942.2, 1992.9], [5955.0, 1991.9], [5965.5, 1991.0], [5976.0, 1990.2], [5986.8, 1989.2], [5997.9, 1988.3], [5998.8, 1993.4], [5999.8, 1998.7], [6000.0, 2000.0]]","0, 180",M0004
L0004,s000009,1,"[[6000.0, 3000.0], [6000.0, 3090.0], [5805.0, 3090.0], [5805.0, 3000.0], [6000.0, 3000.0]]","0, 180",M0004
L0004,s000010,1,"[[8000.0, 1000.0], [7980.0, 1000.0], [7970.1, 973.5], [7970.1, 953.5], [7970.9, 952.6], [7971.7, 951.6], [7973.4, 949.4], [7975.3, 947.0], [7977.2, 944.7], [7978.9, 942.6], [7983.7, 936.6], [7985.8, 934.2], [7988.0, 931.8], [7991.1, 928.8], [7993.0, 927.1], [7995.0, 925.5], [7997.9, 923.6], [8001.2, 921.3], [8003.1, 920.3], [8004.9, 919.3], [8007.1, 918.1], [8009.3, 917.1], [8011.1, 916.4], [8012.8, 915.7], [8016.4, 914.6], [8020.1, 913.6], [8024.0, 912.6], [8028.2, 911.8], [8032.4, 911.1], [8037.0, 910.3], [8041.7, 909.7], [8045.8, 909.2], [8054.2, 908.6], [8058.4, 908.4], [8068.4, 908.1], [8084.4, 907.3], [8090.5, 906.9], [8102.6, 906.0], [8111.9, 905.3], [8116.6, 904.8], [8121.2, 904.3], [8128.3, 903.2], [8135.4, 901.9], [8142.4, 900.5], [8145.8, 899.7], [8149.1, 898.8], [8153.5, 897.4], [8157.8, 895.8], [8160.0, 894.9], [8162.3, 894.0], [8164.6, 892.9], [8167.1, 891.8], [8169.1, 890.9], [8171.2, 890.0], [8175.3, 888.0], [8179.5, 886.1], [8181.5, 885.2], [8185.3, 883.4], [8187.0, 882.6], [8188.6, 881.9], [8189.9, 881.3], [8191.1, 880.7], [8192.1, 880.3], [8192.8, 879.9], [8193.3, 879.7], [8213.3, 879.7], [8213.3, 899.7], [8211.8, 992.9], [8181.3, 992.9], [8172.0, 993.0], [8164.2, 993.0], [8156.2, 993.1], [8148.1, 993.1], [8139.9, 993.2], [8095.1, 993.2], [8086.8, 993.1], [8082.9, 993.1], [8078.4, 993.2], [8067.7, 993.5], [8057.1, 994.0], [8046.4, 994.6], [8037.9, 995.2], [8029.5, 996.0], [8015.3, 997.8], [8007.6, 998.9], [8003.8, 999.5], [8000.0, 1000.0]]","0, 180",M0004
