"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[153.34870038191917, -194.8220561061589], [492.75893249234696, 24.395421509378053], [492.75893249234696, 293.866551860806], [492.75893249234696, 513.084029476343], [492.75893249234696, 782.5551598277709], [153.34870038191917, 782.5551598277709], [-186.0615317285086, 563.337682212234], [-186.0615317285086, 293.8665518608061], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [199.30705382885904, 56.1199789128485], [0.0, 56.1199789128485], [0.0, 0.0]]","[[13.245522100350428, -194.8220561061589], [153.34870038191917, -194.8220561061589], [352.65575421077824, -194.8220561061589], [352.65575421077824, -138.7020771933104], [352.65575421077824, 293.866551860806], [352.65575421077824, 349.9865307736545], [153.34870038191917, 293.866551860806], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [381.7928254519809, 0.0], [381.7928254519809, 470.877822338733], [0.0, 470.877822338733]]","[[153.34870038191917, -194.8220561061589], [195.73129372347228, -194.8220561061589], [535.1415258339001, -194.8220561061589], [535.1415258339001, 276.0557662325741], [535.1415258339001, 293.866551860806], [535.1415258339001, 764.7443741995389], [153.34870038191917, 764.7443741995389], [-186.0615317285086, 545.526896584002], [-186.0615317285086, 276.0557662325741], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [310.3526527682917, 186.5209394874337], [0.0, 186.5209394874337], [0.0, 0.0]]","[[124.29112103978309, -194.8220561061589], [153.34870038191917, -194.8220561061589], [463.7013531502108, -194.8220561061589], [463.7013531502108, -8.301116618725189], [463.7013531502108, 293.8665518608059], [463.7013531502108, 480.38749134823956], [153.34870038191917, 293.866551860806], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [342.5991390668688, 0.0], [342.5991390668688, 53.39298473314227], [0.0, 53.39298473314227]]","[[153.34870038191917, -194.8220561061589], [156.5376073383602, -194.8220561061589], [495.94783944878793, -194.8220561061589], [495.94783944878793, -141.42907137301663], [495.94783944878793, 293.866551860806], [495.94783944878793, 347.25953659394827], [153.34870038191917, 347.25953659394827], [-186.0615317285086, 128.04205897841135], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -141.42907137301657], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [38.67290482319502, 0.0], [38.67290482319502, 453.83121635263035], [0.0, 292.70448890441713]]","[[153.34870038191917, -194.8220561061589], [192.0216052051142, -33.69532865794568], [192.0216052051142, 259.0091602464714], [192.0216052051142, 454.99327930901916], [192.0216052051142, 747.6977682134363], [153.34870038191917, 747.6977682134363], [-186.0615317285086, 528.4802905978994], [-186.0615317285086, 259.00916024647154], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [377.75576175007876, 0.0], [377.75576175007876, 368.7907391555503], [0.0, 368.7907391555503]]","[[153.34870038191917, -194.8220561061589], [191.69423002157015, -194.8220561061589], [531.1044621319979, -194.8220561061589], [531.1044621319979, 173.9686830493914], [531.1044621319979, 293.866551860806], [531.1044621319979, 662.6572910163562], [153.34870038191917, 662.6572910163562], [-186.0615317285086, 443.4398134008193], [-186.0615317285086, 173.9686830493914], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [127.15543999084407, 0.0], [127.15543999084407, 355.93748491624723], [0.0, 355.93748491624723]]","[[-58.90609173766454, -194.8220561061589], [153.34870038191917, -194.8220561061589], [280.50414037276323, -194.8220561061589], [280.50414037276323, 161.11542881008833], [280.50414037276323, 293.866551860806], [280.50414037276323, 649.8040367770532], [153.34870038191917, 649.8040367770532], [-186.0615317285086, 430.5865591615162], [-186.0615317285086, 161.11542881008833], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [101.79165437820775, 0.0], [101.79165437820775, 44.894249362890996], [0.0, 0.0]]","[[153.34870038191917, -194.8220561061589], [255.1403547601269, -149.9278067432679], [255.1403547601269, 338.76080122369694], [153.34870038191917, 338.76080122369694], [-186.0615317285086, 119.54332360816002], [-186.0615317285086, 74.64907424526902], [-186.0615317285086, -149.9278067432679], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[0.0, 0.0], [132.98919955201615, 173.40695513036457], [0.0, 346.81391026072913], [0.0, 0.0]]","[[153.34870038191917, -194.8220561061589], [153.34870038191917, 151.99185415457023], [153.34870038191917, 293.866551860806], [153.34870038191917, 640.6804621215351], [-186.0615317285086, 421.4629845059982], [-319.05073128052476, 248.05602937563364], [-319.05073128052476, -21.415100975794275], [-186.0615317285086, -194.8220561061589]]"
"[[0.0, 0.0], [199.30705382885904, 56.1199789128485], [0.0, 56.1199789128485], [0.0, 0.0]]","[[0.0, 0.0], [339.4102321104278, 0.0], [339.4102321104278, 488.68860796696487], [0.0, 269.4711303514279]]","[[132.87136921923934, 18.706659637616163], [472.2816013296672, 237.92413725315313], [472.2816013296672, 507.395267604581], [272.97454750080817, 507.395267604581], [132.87136921923923, 507.395267604581], [-66.43568460961983, 507.395267604581], [-66.43568460961983, 18.706659637616127], [-66.43568460961968, -37.41331927523234]]"
"[[0.0, 0.0], [199.30705382885904, 56.1199789128485], [0.0, 56.1199789128485], [0.0, 0.0]]","[[0.0, 0.0], [199.30705382885904, 56.1199789128485], [0.0, 56.1199789128485], [0.0, 0.0]]","[[132.87136921923934, -37.41331927523234], [332.1784230480984, 18.706659637616163], [332.1784230480984, 74.82663855046466], [132.87136921923934, 74.82663855046466], [-66.43568460961968, 18.706659637616163], [-66.43568460961968, -37.41331927523234]]"
"[[0.0, 0.0], [199.30705382885904, 56.1199789128485], [0.0, 56.1199789128485], [0.0, 0.0]]","[[0.0, 0.0], [381.7928254519809, 0.0], [381.7928254519809, 470.877822338733], [0.0, 470.877822338733]]","[[315.3571408423612, -37.41331927523234], [514.6641946712202, 18.706659637616163], [514.6641946712202, 489.58448197634914], [132.87136921923934, 489.58448197634914], [-66.43568460961971, 489.58448197634914], [-66.43568460961971, 18.706659637616184], [-66.43568460961968, -37.41331927523234]]"
