polygon
"[[0.000000,0.000000],[200.000000,0.000000],[200.000000,200.000000],[0.000000,200.000000]]"
"[[0.000000,200.000000],[200.000000,200.000000],[200.000000,400.000000],[0.000000,400.000000]]"
"[[0.000000,400.000000],[280.000000,400.000000],[280.000000,580.000000],[0.000000,580.000000]]"
"[[0.000000,580.000000],[280.000000,580.000000],[140.000000,720.000000]]"
"[[200.000000,180.000000],[200.000000,0.000000],[480.000000,180.000000]]"
"[[280.000000,180.000000],[560.000000,180.000000],[560.000000,460.000000],[280.000000,460.000000]]"
"[[280.000000,460.000000],[480.000000,540.000000],[480.000000,640.000000],[280.000000,640.000000]]"
"[[480.000000,460.000000],[580.000000,460.000000],[580.000000,640.000000],[480.000000,640.000000]]"
"[[900.000002,359.999998],[900.000002,639.999998],[620.000002,639.999998],[900.000002,359.999998]]"
"[[580.000000,280.000000],[780.000000,280.000000],[780.000000,480.000000],[580.000000,560.000000]]"
"[[520.000000,760.000000],[600.000000,600.000000],[680.000000,760.000000]]"
"[[622.400000,0.000000],[902.400000,0.000000],[762.400000,240.000000]]"
