0,0,0,0,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[0.0, 40.0], [60.0, 0.0], [120.0, 40.0], [60.0, 80.0], [0.0, 40.0]]","[[0.0, 0.0], [120.0, 80.0], [0.0, 160.0], [-120.0, 80.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,0,1,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[60.0, -20.0], [100.0, 40.0], [60.0, 100.0], [20.0, 40.0], [60.0, -20.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,0,2,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[120.0, 40.0], [60.0, 80.0], [0.0, 40.0], [60.0, 0.0], [120.0, 40.0]]","[[0.0, 0.0], [120.0, 80.0], [0.0, 160.0], [-120.0, 80.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,0,3,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[60.0, 100.0], [20.0, 40.0], [60.0, -20.0], [100.0, 40.0], [60.0, 100.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,1,0,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[0.0, 40.0], [60.0, 0.0], [120.0, 40.0], [60.0, 80.0], [0.0, 40.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,1,1,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[60.0, -20.0], [100.0, 40.0], [60.0, 100.0], [20.0, 40.0], [60.0, -20.0]]","[[0.0, 0.0], [80.0, 120.0], [0.0, 240.0], [-80.0, 120.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,1,2,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[120.0, 40.0], [60.0, 80.0], [0.0, 40.0], [60.0, 0.0], [120.0, 40.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,1,3,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[60.0, 100.0], [20.0, 40.0], [60.0, -20.0], [100.0, 40.0], [60.0, 100.0]]","[[0.0, 0.0], [80.0, 120.0], [0.0, 240.0], [-80.0, 120.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,2,0,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[0.0, 40.0], [60.0, 0.0], [120.0, 40.0], [60.0, 80.0], [0.0, 40.0]]","[[0.0, 0.0], [120.0, 80.0], [0.0, 160.0], [-120.0, 80.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,2,1,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[60.0, -20.0], [100.0, 40.0], [60.0, 100.0], [20.0, 40.0], [60.0, -20.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
