0.00 0.00 224.00 0.00 0.00 474.00 224.00 474.00
0.00 0.00 183.00 0.00 0.00 336.00 183.00 336.00
0.00 0.00 246.00 0.00 0.00 175.00 246.00 175.00
0.00 0.00 319.00 0.00 0.00 378.00 319.00 378.00
0.00 0.00 312.00 0.00 0.00 312.00 312.00 312.00
0.00 0.00 421.00 0.00 0.00 89.00 421.00 89.00
0.00 0.00 494.00 0.00 0.00 175.00 494.00 175.00
0.00 0.00 181.00 0.00 0.00 188.00 181.00 188.00
0.00 0.00 58.00 0.00 0.00 258.00 58.00 258.00
0.00 0.00 447.00 0.00 0.00 202.00 447.00 202.00
0.00 0.00 273.00 0.00 0.00 62.00 273.00 62.00
0.00 0.00 227.00 0.00 0.00 338.00 227.00 338.00
0.00 0.00 247.00 0.00 0.00 225.00 247.00 225.00
0.00 0.00 88.00 0.00 0.00 171.00 88.00 171.00
0.00 0.00 453.00 0.00 0.00 90.00 453.00 90.00
0.00 0.00 462.00 0.00 0.00 101.00 462.00 101.00
0.00 0.00 329.00 0.00 0.00 291.00 329.00 291.00
0.00 0.00 123.00 0.00 0.00 316.00 123.00 316.00
0.00 0.00 338.00 0.00 0.00 233.00 338.00 233.00
0.00 0.00 201.00 0.00 0.00 271.00 201.00 271.00
0.00 0.00 221.00 0.00 0.00 138.00 221.00 138.00
0.00 0.00 265.00 0.00 0.00 313.00 265.00 313.00
0.00 0.00 220.00 0.00 0.00 165.00 220.00 165.00
0.00 0.00 320.00 0.00 0.00 378.00 320.00 378.00
0.00 0.00 198.00 0.00 0.00 330.00 198.00 330.00
0.00 0.00 97.00 0.00 0.00 435.00 97.00 435.00
0.00 0.00 428.00 0.00 0.00 189.00 428.00 189.00
0.00 0.00 368.00 0.00 0.00 349.00 368.00 349.00
0.00 0.00 267.00 0.00 0.00 235.00 267.00 235.00
0.00 0.00 63.00 0.00 0.00 429.00 63.00 429.00
0.00 0.00 395.00 0.00 0.00 436.00 395.00 436.00
0.00 0.00 361.00 0.00 0.00 368.00 361.00 368.00
0.00 0.00 84.00 0.00 0.00 96.00 84.00 96.00
0.00 0.00 193.00 0.00 0.00 233.00 193.00 233.00
